#separator:Tab
#html:true
#tags column:5
#columns:Id	Front	Back	Source	Tags
0959d90ac3d0	border-width和outline-width	<ul><li>border-width:默认值medium,定义中等的上边框（在设置border:solid red时，才会默认border-width为medium，medium具体值根据浏览器缩放比例大小决定 100%时chrome为2.4px）</li><li>outline-width:默认值medium,规定中等的轮廓</li></ul>	CSS.md / 基础概念与核心机制 / border-width和outline-width	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
f019cec6cb79	**em 与 rem 的区别**（必背）	<p>| <strong>特性</strong> | <code>em</code> | <code>rem</code><strong>(Root Em)</strong> |<br>| :--- | :--- | :--- |<br>| <strong>参照基准</strong> | 当前元素或父元素的字体大小 | <strong>根元素 (</strong><code>html</code><strong>)</strong> 的字体大小 |<br>| <strong>受嵌套影响</strong> | <strong>是</strong>，多层嵌套时计算复杂 | <strong>否</strong>，在任何层级使用，都直接参照根元素字体大小，计算简单且可预测 |<br>| <strong>主要用途</strong> | 用于需要<strong>相对于其直接上下文（父元素或自身字体）</strong> 进行缩放的组件内部布局 | 用于需要<strong>全局一致</strong>的布局、间距和字体大小，便于整体控制响应式缩放 |</p>	CSS.md / 基础概念与核心机制 / **em 与 rem 的区别**（必背）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
d9bbc22c2bef	clear的作用？	<p>| <strong>属性值</strong> | <strong>作用</strong> | <strong>适用场景</strong> |<br>| :--- | :--- | :--- |<br>| <code>none</code> | 默认值，允许元素两侧存在浮动元素。 | 无需清除浮动时。 |<br>| <code>left</code> | 元素的左侧不允许有浮动元素，会下移到左侧所有浮动元素的下方。 | 只需清除左侧浮动时。 |<br>| <code>right</code> | 元素的右侧不允许有浮动元素，会下移到右侧所有浮动元素的下方。 | 只需清除右侧浮动时。 |<br>| <code>both</code> | 元素左右两侧均不允许有浮动元素，会下移到所有浮动元素的下方。 | <strong>最常见</strong>，需要完全清除左右两侧浮动影响时。 |<br>| <code>inherit</code> | 继承父元素的 <code>clear</code>属性值。 | 需要从父元素继承清除浮动行为时（注意：IE8 及更早版本不支持此值）。 |</p>	CSS.md / 基础概念与核心机制 / clear的作用？	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
1595742d548b	不同浏览器资源前缀	<p>mozilla内核 (firefox,flock等) -mOz</p><p>webkit内核(safari,chrome等) -webkit</p><p>opera内核(opera浏览器)  -o</p><p>trident内核(ie浏览器) -ms</p>	CSS.md / 基础概念与核心机制 / 不同浏览器资源前缀	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
e09bc01b9c3a	white-space、text-overflow、overflow三个属性的含义	<p>white-space:属性设置如何处理元素内的空白</p><ul><li>normal:默认。空白会被浏览器忽略。.</li><li>pre: 空白会被浏览器保留。其行为方式类似 HTML 中的 pre 标签</li><li>nowrap:文本不会换行，文本会在在同一行上继续，直到遇到 br 标签为止。</li><li>pre-wrap:保留空白符序列，但是正常地进行换行。</li><li>pre-line:合并空白符序列，但是保留换行符。</li><li>inherit:规定应该从父元素继承 white-space 属性的值</li></ul><p>text-overflow:clip | ellipsis |string;</p><ul><li>clip：修剪文本</li><li>ellipsis：显示省略符号来代表被修剪的文本</li><li>string：使用给定的字符串来代表被修剪的文本</li></ul><p>overflow</p><ul><li>visible：默认值，内容不会被修剪会呈现在元素框之外</li><li>hidden：内容会被修剪，并且其余内容是不可见的</li><li>scroll：内容会被修剪，但是浏览器会显示滚动条以便查看其余的内容</li><li>auto：如果内容被修剪，则浏览器会显示滚动条以便查看其余的内容</li><li>inherit：规定应该从父元素继承overflow 属性的值</li></ul>	CSS.md / 基础概念与核心机制 / white-space、text-overflow、overflow三个属性的含义	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
5438048819dd	outline	<ol><li><code>outline-color</code></li></ol><p>*<strong>描述</strong>：此属性用于<strong>规定轮廓的颜色</strong>。您可以使用颜色名称、十六进制代码、RGB值等来设置颜色。</p><ol><li><code>outline-style</code></li></ol><p>*<strong>描述</strong>：此属性用于<strong>规定轮廓的样式</strong>。常见的值包括 <code>solid</code>（实线）、<code>dotted</code>（点线）、<code>dashed</code>（虚线）、<code>double</code>（双线）等。</p><ol><li><code>outline-width</code></li></ol><p>*<strong>描述</strong>：此属性用于<strong>规定轮廓的宽度</strong>。您可以使用像 <code>thin</code>（细）、<code>medium</code>（中）、<code>thick</code>（粗）这样的关键字，或者使用具体的尺寸值（如 <code>2px</code>）。</p><ol><li><code>inherit</code></li></ol><p>*<strong>描述</strong>：这是一个特殊的值，可用于以上任何属性。它规定<strong>该元素的轮廓属性设置应从其父元素继承</strong>。</p>	CSS.md / 基础概念与核心机制 / outline	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
e055b0525c03	`list-style-type`	<p>| <strong>列表类型</strong> | <strong>属性值</strong> | <strong>说明</strong> |<br>| --- | :--- | :--- |<br>| <strong>无序列表</strong> | <code>disc</code> | 实心圆点（默认值） |<br>| | <code>circle</code> | 空心圆 |<br>| | <code>square</code> | 实心方块 |<br>| <strong>有序列表</strong> | <code>decimal</code> | 阿拉伯数字 (1, 2, 3) |<br>| | <code>decimal-leading-zero</code> | 带前导零的数字 (01, 02) |<br>| | <code>lower-roman</code> | 小写罗马数字 (i, ii) |<br>| | <code>upper-roman</code> | 大写罗马数字 (I, II) |<br>| | <code>lower-alpha</code> | 小写英文字母 (a, b) |<br>| | <code>upper-alpha</code> | 大写英文字母 (A, B) |<br>| <strong>通用</strong> | <code>none</code> | 不显示项目符号 |</p>	CSS.md / 基础概念与核心机制 / `list-style-type`	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
a099e25e7fd8	复合属性（选背）	<p>border-radius是由</p><ul><li>border-top-left-radius</li><li>border-top-right-radius</li><li>border-bottom-leftradius</li><li>border-bottom-right-radius组合而来</li></ul><p>text-decoration是由</p><ul><li>text-decoration-line</li><li>textdecoration-style</li><li>text-decoration-color</li><li>textdecoration-thickness组合而来;</li></ul><p>margin是由</p><ul><li>margin-top</li><li>margin-right</li><li>margin-bottom</li><li>margin-bottom组合而来;</li></ul><p>transition是由</p><ul><li>transition-property</li><li>transition-duration</li><li>transition-timing-function</li><li>transition-delay组合而来。</li></ul>	CSS.md / 基础概念与核心机制 / 复合属性（选背）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
c04f8453b0f7	position（必会）	<p>position属性的不同值对于实现网页布局非常重要,每种定位方式都有其适用场景</p><ul><li>fixed定位是相对于浏览器窗口进行定位,而不是相对于父元素。使用fixed定位的元素会固定在浏览器窗口的某个位置,即使页面滚动也不会移动</li><li>static是默认值,元素按照正常文档流进行排列,不会受到top、bottom、left、right等属性的影响</li><li>relative定位是相对定位,元素相对于它原本在文档流中的位置进行偏移,通过topright、bottom、left属性控制偏移量。原本的位置会被保留</li><li>absolute绝对定位的参考点是最近的非static定位的祖先元素。如果所有祖先元素都是static定位,则相对于文档的根元素html进行定位。使用absolute定位的元素会脱离文档流</li></ul>	CSS.md / 基础概念与核心机制 / position（必会）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
c1e035e114f3	id属性	<p>根据 <strong>HTML5规范</strong>，如果一个元素拥有 <code>id</code>属性，并且 <code>window</code>对象上尚不存在同名的属性，那么该 <code>id</code>值就会成为 <code>window</code>对象的一个属性，其值就是这个DOM元素本身</p><p>例如，有这样的HTML：</p><pre><code class="language-javascript">&lt;div id="myElement"&gt;Hello World&lt;/div&gt;&#10;</code></pre><p>在JavaScript中，你可以直接通过 <code>window.myElement</code>或全局变量 <code>myElement</code>来访问这个元素：</p><pre><code class="language-javascript">console.log(myElement); // 输出: &lt;div id="myElement"&gt;Hello World&lt;/div&gt;&#10;console.log(myElement === window.myElement); // 输出: true&#10;</code></pre><p>尽管可以直接通过 <code>id</code>访问元素，但在实际开发中，<strong>通常建议使用 </strong><code>document.getElementById()</code> 等方法。主要原因包括：</p><p><em><strong>可读性和明确性</strong>：<code>document.getElementById('myId')</code>明确表达了意图，代码更容易被他人理解。<br></em><strong>避免意外覆盖</strong>：防止因全局变量被意外覆盖而导致的难以调试的问题。<br><em><strong>兼容性更一致</strong>：所有现代浏览器都完全支持此方法，行为一致。<br></em><strong>元素加载时机</strong>：通过 <code>id</code>直接访问全局变量时，如果脚本在执行时元素还未被浏览器解析加载，则访问到的可能是 <code>undefined</code>。而 <code>getElementById</code>在操作已加载的DOM元素时更安全可靠</p>	CSS.md / 基础概念与核心机制 / id属性	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
636a046c4ca1	&lt;object&gt;（了解即可）	<ul><li>在HTML中，<code>&lt;object&gt;</code>元素是一个多功能且强大的容器，主要用于嵌入图像、嵌套浏览上下文（如其他网页），或由浏览器插件处理的资源（如Flash、PDF等）。它提供了一种比早期如 <code>&lt;applet&gt;</code>（用于Java小程序）或 <code>&lt;embed&gt;</code>更标准化和灵活的方式来集成外部内容</li><li><code>&lt;object&gt;</code>元素的核心在于其数据（data）和类型（type），浏览器依靠这些信息来决定如何加载和处理资源。下面我们来看看它的一些关键属性。</li></ul><p><strong>主要属性</strong></p><p><code>&lt;object&gt;</code>元素拥有众多属性，用于精确控制资源的加载和呈现方式。虽然有些属性在现代HTML规范中已不再推荐使用（deprecated），但了解它们仍有其意义。</p><p>| <strong>属性名</strong> | <strong>类型</strong> | <strong>说明</strong> |<br>| :--- | :--- | :--- |<br>| <strong>data</strong> | URL | <strong>必需</strong>（除非在容器内声明）。指定对象数据的地址（URL）。 |<br>| <strong>type</strong> | MIME type | 指定 data 属性所指定数据的 MIME 类型。浏览器根据此值判断能否处理该资源，从而避免加载不支持的插件。 |<br>| <strong>name</strong> | 字符串 | 为对象定义名称，通常用于表单提交时标识该控件产生的数据。 |<br>| <strong>form</strong> | 表单 ID | 指定对象所属的一个或多个 <code>&lt;form&gt;</code>元素（ID）。即使不在表单标签内，其数据也可随指定表单提交。 |<br>| <strong>usemap</strong> | #+map name | 关联一个 <code>&lt;map&gt;</code>元素的名称为图像定义热点区域（image map）。值为 <code>#</code>加上 <code>&lt;map&gt;</code>元素的 name。 |<br>| <strong>width</strong> | 像素或百分比 | 定义对象的显示宽度。 |<br>| <strong>height</strong> | 像素或百分比 | 定义对象的显示高度。 |<br>| <strong>archive</strong> | URL 列表 | ~~已废弃~~。一个以空格分隔的 URL 列表，指向包含与对象相关资源的归档文件。 |<br>| <strong>border</strong> | 像素 | ~~已废弃~~。定义对象周围的边框宽度。应使用 CSS <code>border</code>属性替代。 |<br>| <strong>classid</strong> | URI | ~~已废弃~~。用于标识浏览器需要加载的插件或控件的实现位置（如旧版 ActiveX 控件的 CLSID）。 |<br>| <strong>codebase</strong> | URI | ~~已废弃~~。为浏览器解析 <code>classid</code>、<code>data</code>和 <code>archive</code>中相对 URL 提供基础路径。 |<br>| <strong>codetype</strong> | MIME type | ~~已废弃~~。指定 <code>classid</code>所引插件代码的 MIME 类型，浏览器可提前知悉以避免加载不支持的插件。 |<br>| <strong>declare</strong> | (declare) | ~~已废弃~~。布尔属性。如果设置，则指示浏览器只声明此对象而不立即实例化。后续可通过其他对象或脚本的引用来实例化它。 |<br>| <strong>standby</strong> | 文本 | ~~已废弃~~。指定在对象加载过程中显示的简短提示文本。 |<br>| <strong>typemustmatch</strong> | Boolean | 一个布尔属性。如果设置，则要求 <code>type</code>属性必须与 data 指向资源的实际 MIME 类型匹配，浏览器才会加载该内容。这增强了安全性，防止插件处理非预期类型的数据。 |</p><p><code>&lt;object&gt;</code>元素的使用场景多样，以下是一些常见示例：</p><ol><li><strong>嵌入 PDF 文档</strong></li></ol><p>使用 <code>type="application/pdf"</code>告知浏览器嵌入的是 PDF 资源。许多现代浏览器（如 Chrome）内置了 PDF 查看器。</p><pre><code class="language-html">&lt;object data="/docs/spec.pdf" type="application/pdf" width="100%" height="500px"&gt;&#10;  &lt;p&gt;您的浏览器不支持嵌入 PDF。请&lt;a href="/docs/spec.pdf"&gt;下载文件&lt;/a&gt;查看。&lt;/p&gt;&#10;&lt;/object&gt;&#10;</code></pre><ol><li><strong>嵌入图像</strong></li></ol><p>可以作为 <code>&lt;img&gt;</code>标签的替代方案，尤其是在需要向后兼容或使用图像映射时。</p><pre><code class="language-html">&lt;object data="chart.svg" type="image/svg+xml" width="400" height="300"&gt;&#10;  &lt;img src="chart.png" alt="销售额图表（SVG不支持的备选方案）"&gt;&#10;&lt;/object&gt;&#10;</code></pre><ol><li><strong>嵌入由插件处理的内容（如传统 Flash）</strong></li></ol><p>虽然 Flash 已被淘汰，但其用法是经典案例。<code>type</code>属性让浏览器知道需要 <code>application/x-shockwave-flash</code>插件来处理该资源。</p><pre><code class="language-html">&lt;object data="movie.swf" type="application/x-shockwave-flash" width="550" height="400"&gt;&#10;  &lt;param name="movie" value="movie.swf"&gt;&#10;  &lt;param name="quality" value="high"&gt;&#10;  &lt;p&gt;您的浏览器未安装 Flash 插件或不再支持。&lt;/p&gt;&#10;&lt;/object&gt;&#10;</code></pre>	CSS.md / 基础概念与核心机制 / &lt;object&gt;（了解即可）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
7d027e069364	如何表示红色	<ul><li>red</li><li>#f00</li><li>rgb(100%,0%,0%)</li><li>hsl(0,100%,50%)</li></ul>	CSS.md / 基础概念与核心机制 / 如何表示红色	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
4f9aa4f370a4	布局模型（必背）	<ol><li>标准文档流（Flow） 元素自上而下按顺序垂直延伸分布.</li><li>浮动模型 (Float)   浮动</li><li>定位模型 设置position</li><li>flexbox弹性盒子</li><li>grid网格布局</li></ol>	CSS.md / 布局与定位技术 / 布局模型（必背）	baguwen 前端 八股 CSS 样式 布局 CSS 布局与定位技术
